시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
서대문종합사회복지관,서울특별시 서대문구 모래내로 177 (남가좌동),서울특별시 서대문구 남가좌동 115-63,서대문종합사회복지관,,서대문종합사회복지관,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토)+도시락배달(월+화+수+목+금+토+일)+밑반찬배달(화+목),,,37.5714554,126.920087,2025-09-01,3120000,서울특별시 서대문구
북가좌노인복지관,서울특별시 서대문구 증가로20길 43 (북가좌동),서울특별시 서대문구 북가좌동 5-106,북가좌노인복지관,,북가좌노인복지관,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토),,,37.5812027,126.9179084,2025-09-01,3120000,서울특별시 서대문구
홍제 시니어파크,,서울특별시 서대문구 홍제동 277-28,홍제 시니어파크,,홍제 시니어파크,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금),,,37.5944722,126.9475089,2025-09-01,3120000,서울특별시 서대문구
옥천군노인복지관(본관),충청북도 옥천군 옥천읍 삼양로8길 5-6,충청북도 옥천군 옥천읍 삼양리 161-81,옥천군노인복지관,043-733-2500,옥천군노인복지관(본관) 1층 식당,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 저소득 노인,11:10~12:00,월+화+수+목+금,2010-01-01,,36.30410469,127.5689992,2025-08-18,4430000,충청북도 옥천군
옥천군노인복지관(청산분관),충청북도 옥천군 청산면 지전길 23-9,충청북도 옥천군 청산면 지전리 25,옥천군노인복지관,043-731-0789,옥천군노인복지관(청산분관) 1층 식당,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 저소득 노인,11:20~12:10,월+화+수+목+금,2010-01-01,,36.34417563,127.7935415,2025-08-18,4430000,충청북도 옥천군
함평읍경로식당,전라남도 함평군 함평읍 들샘길 36,전라남도 함평군 함평읍 내교리 174-7,함평군노인복지관,061-323-5518,함평군노인복지관,식사를 거를 우려가 있는 독거노인,11:30~13:30,월+화+수+목+금,2015-09-01,,35.06121348,126.521898,2025-08-29,4960000,전라남도 함평군
임실군노인종합복지관,전북특별자치도 임실군 임실읍 운수로 33-46,전북특별자치도 임실군 임실읍 이도리 241,삼동회,063-644-4438,임실군노인종합복지관,60세이상 저소득노인,11:30,월+수+금,2025-02-01,2025-12-20,35.61462837,127.2857153,2025-07-28,4761000,전북특별자치도 임실군
임실군북부권노인복지관,전북특별자치도 임실군 관촌면 사선1길 24,전북특별자치도 임실군 관촌면 관촌리 177-2,삼동회,063-642-3844,임실군북부권노인복지관,60세이상 저소득노인,11:30,월+수+금,2025-02-01,2025-12-20,35.674577,127.271438,2025-07-28,4761000,전북특별자치도 임실군
원불교오수교당봉공회,전북특별자치도 임실군 오수면 삼일로 28,전북특별자치도 임실군 오수면 오수리 389-9,원불교오수교당 봉공회,063-642-1394,원불교오수교당봉공회,60세이상 저소득노인,11:30,월+화+수,2025-02-01,2025-12-20,35.54102175,127.327547,2025-07-28,4761000,전북특별자치도 임실군
동부노인회관 무료경로식당,경상남도 김해시 김해대로2517번길 33(삼정동),경상남도 김해시 삼정동 650-3,활천동부녀회,055-332-5226,동부노인복지회관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.23123935,128.9015821,2025-07-28,5350000,경상남도 김해시
진영대성교회 무료경로식당,경상남도 김해시 진영읍 김해대로332번길31-6,경상남도 김해시 진영읍 진영리 1534,진영대성교회,055-342-9192,진영대성교회,65세이상 저소득 결식우려 노인,중식(11:00~13:00),목,2017-01-01,,35.30607804,128.723962,2025-07-28,5350000,경상남도 김해시
사단법인 가야불교문화원,경상남도 김해시 흥동로 179 (흥동),경상남도 김해시 흥동 7-5,(사)가야불교문화원,055-322-0088,가야불교문화원,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.22269336,128.8683654,2025-07-28,5350000,경상남도 김해시
생림면복지회관 무료경로식당,경상남도 김해시 생림면 봉림로 34-10,경상남도 김해시 생림면 봉림리 648,생림면자원봉사회,055-330-8723,생림면복지회관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),수,2017-01-01,,35.32773042,128.8495091,2025-07-28,5350000,경상남도 김해시
길손의쉼터 무료경로식당,경상남도 김해시 삼안로291번길 47-15(삼방동),경상남도 김해시 삼방동 685-18,(사)길손의쉼터,055-331-1526,길손의 쉼터,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+수+금,2017-01-01,,35.24813647,128.9082845,2025-07-28,5350000,경상남도 김해시
활천노인대학 무료경로식당,경상남도 김해시 활천로 294(삼방동),경상남도 김해시 삼방동 194-3,사)활천제일노인대학한국노인대학복지협의회,055-337-4321,활천제일교회,65세이상 저소득 결식우려 노인,중식(11:00~13:00),목+일,2017-01-01,,35.24314054,128.9115882,2025-07-28,5350000,경상남도 김해시
장애인복지관 무료경로식당,경상남도 김해시 인제로 258(삼방동),경상남도 김해시 삼방동 572-1,김해시장애인단체연합회,055-335-7970,장애인복지관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.25141404,128.9036525,2025-07-28,5350000,경상남도 김해시
김해시구산사회복지관 무료경로식당,경상남도 김해시 가락로 222(구산동),경상남도 김해시 구산동 321,김해시복지재단,055-310-8474,김해시구산사회복지관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금+토,2017-01-01,,35.24661206,128.8768354,2025-07-28,5350000,경상남도 김해시
김해종합사회복지관 무료경로식당,경상남도 김해시 분성로 227(외동),경상남도 김해시 외동 1261-3,김해시종합사회복지관(인제대학교),055-329-6336,김해시종합사회복지관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금+토,2017-01-01,,35.23243378,128.8705459,2025-07-28,5350000,경상남도 김해시
김해시노인복지회관 무료경로식당,경상남도 김해시 가락로15번길 37(봉황동),경상남도 김해시 봉황동 17-13,대한적십자사 김해지구협의회,055-322-9958,김해시노인복지회관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.22739831,128.8780922,2025-07-28,5350000,경상남도 김해시
장유대성복지재단,경상남도 김해시 능동로 67,경상남도 김해시 삼문동 103,빨간밥차,055-723-2000,율하새소망교회앞(화)+대청동 장유광장(금),65세이상 저소득 결식우려 노인,중식(11:00~13:00),화+금,2019-03-01,,35.19847379,128.7998491,2025-07-28,5350000,경상남도 김해시
도계읍행정복지센터,강원특별자치도 삼척시 도계로 308,강원특별자치도 삼척시 도계읍 도계리 369-5,강원특별자치도 삼척시청,033-541-3001,도계읍행정복지센터,관내 65세 이상 노인,중식(12:00),주1회(별도 공지),2022-07-01,,37.23643989,129.0453109,2025-07-28,4241000,강원특별자치도 삼척시
원덕읍행정복지센터,강원특별자치도 삼척시 원덕읍 삼척로 440,강원특별자치도 삼척시 원덕읍 호산리 240,강원특별자치도 삼척시청,033-572-6011,원덕읍행정복지센터,관내 65세 이상 노인,중식(12:00),주1회(별도 공지),2022-07-01,,37.17638656,129.3360673,2025-07-28,4241000,강원특별자치도 삼척시
근덕면행정복지센터,강원특별자치도 삼척시 근덕면 삼척로 3639,강원특별자치도 삼척시 근덕면 교가리 661-1,강원특별자치도 삼척시청,033-572-3700,근덕면행정복지센터,관내 65세 이상 노인,중식(12:00),주1회(별도 공지),2022-07-01,,37.37914295,129.2257493,2025-07-28,4241000,강원특별자치도 삼척시
하장면행정복지센터,강원특별자치도 삼척시 하장길 118,강원특별자치도 삼척시 하장면 광동리 172-3,강원특별자치도 삼척시청,033-570-4846,하장면행정복지센터,관내 65세 이상 노인,중식(12:00),분기1회(별도 공지),2022-07-01,,37.34946563,128.9430556,2025-07-28,4241000,강원특별자치도 삼척시
미로면행정복지센터,강원특별자치도 삼척시 미로면 적병길 8,강원특별자치도 삼척시 미로면 하거노리 215-1,강원특별자치도 삼척시청,033-572-0016,미로면행정복지센터,관내 65세 이상 노인,중식(12:00),주1회(별도 공지),2022-07-01,,37.41814966,129.1126711,2025-07-28,4241000,강원특별자치도 삼척시
노곡면행정복지센터,강원특별자치도 삼척시 노곡면 미근로 886,강원특별자치도 삼척시 노곡면 하월산리 168-1,강원특별자치도 삼척시청,033-572-8012,노곡면행정복지센터,관내 65세 이상 노인,중식(12:00),월1회(별도 공지),2022-07-01,,37.34799424,129.1643366,2025-07-28,4241000,강원특별자치도 삼척시
신기면행정복지센터,강원특별자치도 삼척시 신기면 신기길 15,강원특별자치도 삼척시 신기면 신기리 271,강원특별자치도 삼척시청,033-541-1800,신기면행정복지센터,관내 65세 이상 노인,중식(12:00),월1회(별도 공지),2022-07-01,,37.34945618,129.0832778,2025-07-28,4241000,강원특별자치도 삼척시
가곡면행정복지센터,강원특별자치도 삼척시 가곡면 가곡천로 1477,강원특별자치도 삼척시 가곡면 오저리 17-5,강원특별자치도 삼척시청,033-572-7412,가곡면행정복지센터,관내 65세 이상 노인,중식(12:00),월1회(별도 공지),2022-07-01,,37.1497693,129.2052022,2025-07-28,4241000,강원특별자치도 삼척시
교동행정복지센터,강원특별자치도 삼척시 대학로 88-14,강원특별자치도 삼척시 교동 657-1,강원특별자치도 삼척시청,033-572-2023,교동행정복지센터,관내 65세 이상 노인,중식(12:00),월1회(별도 공지),2022-07-01,,37.447936,129.1646074,2025-07-28,4241000,강원특별자치도 삼척시
중촌효심정,대전광역시 중구 대전천서로 616,대전광역시 중구 중촌동 382-1,중촌효심정,042-254-2819,중촌효심정,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:00~12:00),월+화+수+목+금,1999-01-01,,36.3385590370,127.4159804215,2023-06-30,6300000,대전광역시
문창효심정,대전광역시 중구 보문로 20번길 33,대전광역시 중구 문창동 119-21,문창효심정,042-635-5111,문창효심정,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:00~12:00),월+화+수+목+금,1999-01-01,,36.3159446831,127.4376450400,2023-06-30,6300000,대전광역시
성락종합사회복지관,대전광역시 중구 선화로 43번길 13,대전광역시 중구 용두동 53-31,성락종합사회복지관,042-254-6396,성락종합사회복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:00~12:00),월+화+수+목+금,2001-01-01,,36.3276185934,127.4126735692,2023-06-30,6300000,대전광역시
중촌사회복지관,대전광역시 중구 대전천서로 695,대전광역시 중구 중촌동 128-1,중촌사회복지관,042-221-2577,중촌사회복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:30~12:30),월+화+수+목+금,1998-01-01,,36.3448668151,127.4105855519,2023-06-30,6300000,대전광역시
호산나공동체,대전광역시 중구 계룡로 815번길 6,대전광역시 중구 용두동 35-1,호산나공동체,042-222-4149,호산나공동체,60세이상 기초수급자+차상위계층+저소득 독거노인,석식(16:00~17:00),월+화+수+목+금,2001-01-01,,36.3273473157,127.4072679907,2023-06-30,6300000,대전광역시
대전광역시노인복지관,대전광역시 중구 테미로 26,대전광역시 중구 대흥동 311-1,대전광역시노인복지관,042-242-3101,대전광역시노인복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:50~13:00),월+화+수+목+금,2007-01-01,,36.3207357250,127.4208506140,2023-06-30,6300000,대전광역시
유등노인복지관,대전광역시 서구 도솔로 182,대전광역시 서구 도마동 413-3,유등노인복지관,042-528-0890,유등노인복지관,60세이상 기초수급자+차상위계층,중식(11:30~12:30),월+화+수+목+금,2017-01-02,,36.3269145680,127.3742449539,2023-06-30,6300000,대전광역시
서구노인복지관,대전광역시 서구 남선로 66,대전광역시 서구 탄방동 1084,서구노인복지관,042-488-6297,서구노인복지관,60세이상 기초수급자+차상위계층,중식(12:00~13:00),월+화+수+목+금,1997-03-15,,36.3462303652,127.3979911988,2023-06-30,6300000,대전광역시
한밭종합사회복지관,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218,한밭종합사회복지관,042-484-5325,한밭종합사회복지관,60세이상 기초수급자+차상위계층,중식(11:30~12:30),월+화+수+목+금,1999-07-01,,36.3634863817,127.3700718554,2023-06-30,6300000,대전광역시
월평종합사회복지관,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218,월평종합사회복지관,042-484-6181,월평종합사회복지관,60세이상 기초수급자+차상위계층,중식(11:30~12:30),월+화+수+목+금,1995-07-26,,36.3634863817,127.3700718554,2023-06-30,6300000,대전광역시
둔산종합사회복지관,대전광역시 서구 둔산로 241,대전광역시 서구 둔산동 1812,둔산종합사회복지관,042-482-2032,둔산종합사회복지관,60세이상 기초수급자+차상위계층,중식(11:00~11:30),월+화+수+목+금,1998-01-01,,36.3519672747,127.4011080077,2023-06-30,6300000,대전광역시
유성구노인복지관,대전광역시 유성구 가정로 15,대전광역시 유성구 신성동 372,유성구노인복지관,042-862-4634,유성구노인복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:30~13:00),월+화+수+목+금,2000-01-31,,36.3845482889,127.3440255828,2023-06-30,6300000,대전광역시
송강사회복지관,대전광역시 유성구 봉산로 45,대전광역시 유성구 송강동 10,송강사회복지관,042-934-6338,송강사회복지관,60세이상 기초수급자+차상위계층,중식(11:00~12:00),월+화+수+목+금,1996-01-25,,36.4372165820,127.3851193724,2023-06-30,6300000,대전광역시
유성실버복지센터,대전광역시 유성구 원신흥남로 27번길 54,대전광역시 유성구 원신흥동 578-2,유성실버복지센터,042-823-3233,유성실버복지센터,60세이상 기초수급자+차상위계층,중식(11:20~12:40),월+화+수+목+금,2022-01-02,,36.3341605963,127.3355128354,2023-06-30,6300000,대전광역시
대덕종합사회복지관,대전광역시 대덕구 덕암로 234번길 44,대전광역시 대덕구 덕암동 48-2,대덕종합사회복지관,042-936-7343,대덕종합사회복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(10:30~12:30),월+화+수+목+금,2001-03-22,,36.4401859421,127.4265433017,2023-06-30,6300000,대전광역시
대덕구노인종합복지관,대전광역시 대덕구 계족로 740번길 80,대전광역시 대덕구 읍내동 517-14,대덕구노인종합복지관,042-627-0767,대덕구노인종합복지관,60세이상 기초수급자+차상위계층,중식(11:40~12:40),월+화+수+목+금,2008-10-28,,36.3782574602,127.4314371438,2023-06-30,6300000,대전광역시
중리종합사회복지관,대전광역시 대덕구 계족로 663번길 34,대전광역시 대덕구 법동 283-1,중리종합사회복지관,042-628-1476,중리종합사회복지관,60세이상 기초수급자+차상위계층,중식(11:20~12:00),월+화+수+목+금,1996-06-01,,36.3706043960,127.4247392619,2023-06-30,6300000,대전광역시
법동종합사회복지관,대전광역시 대덕구 계족로 664번길 27,대전광역시 대덕구 법동 188,법동종합사회복지관,042-633-0239,법동종합사회복지관,60세이상 기초수급자+차상위계층,중식(11:30~13:00),월+화+수+목+금,1997-07-01,,36.3709480072,127.4313057393,2023-06-30,6300000,대전광역시
만민교회,대구광역시 달서구 와룡로10길 34,대구광역시 달서구 본동 758,만민교회,053-516-1515,대구광역시 달서구 와룡로10길 34,노인,중식(12:00),화,,,35.83644302,128.5388165,2025-07-30,6270000,대구광역시
선재공덕회,대구광역시 달서구 중흥로 54,대구광역시 달서구 송현동 2006-20,마하야나불교문화원,053-629-9500,대구광역시 달서구 중흥로 54,노인,중식(11:30),수+목,,,35.82948304,128.5573449,2025-07-30,6270000,대구광역시
영주시종합사회복지관,경상북도 영주시 대학로 130-1,경상북도 영주시 가흥동 1385,영주시종합사회복지관,054-639-0500,영주시종합사회복지관,60세이상 결식우려노인,중식(12:00-13:00),월+화+수+목+금,,,36.80902701,128.6109734,2025-06-30,5090000,경상북도 영주시
영주시노인복지관,경상북도 영주시 원당로52번길 19,경상북도 영주시 휴천동 642-10,영주시노인복지관,054-632-9100,영주시노인복지관,60세이상 결식우려노인,중식(12:00-13:00),월+화+수+목+금,,,36.81854508,128.6218552,2025-06-30,5090000,경상북도 영주시
영주시장애인종합복지관,경상북도 영주시 원당로52번길 25,경상북도 영주시 휴천동 41-7,영주시장애인종합복지관,054-633-6415,영주시장애인종합복지관,60세이상 결식우려노인,중식(12:00-13:00),월+화+수+목+금,,,36.81891814,128.6231862,2025-06-30,5090000,경상북도 영주시
천주교하망동성당,경상북도 영주시 영주로 269,경상북도 영주시 하망동 305-2,천주교하망동성당,054-636-9100,천주교하망동성당 만남의집,60세이상 결식우려노인,중식(12:00-13:00),월+화+수+목+금,,,36.82540175,128.6294518,2025-06-30,5090000,경상북도 영주시
풍기성내교회,경상북도 영주시 풍기읍 기주로81번길 6,경상북도 영주시 풍기읍 성내리 58,풍기성내교회,054-636-6277,풍기성내교회 성내사랑방,60세이상 결식우려노인,중식(12:00-13:00),월+화+수+목+금+토,,,36.86941601,128.5259161,2025-06-30,5090000,경상북도 영주시
산내종합사회복지관,대전광역시 동구 산내로 1352-25,대전광역시 동구 낭월동 205,산내종합사회복지관,042-272-0591,산내종합사회복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:30~12:30),월+화+수+목+금,2018-05-31,,36.2847128688,127.4677016737,2023-06-30,6300000,대전광역시
판암사회복지관,대전광역시 동구 옥천로 152-9,대전광역시 동구 판암동 314,판암사회복지관,042-285-1005,판암사회복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:30~12:30),월+화+수+목+금,2018-05-18,,36.3165674598,127.4585439752,2023-06-30,6300000,대전광역시
성모의집,대전광역시 동구 대전로 895,대전광역시 동구 삼성동 293-4,성모의집,042-627-7571,성모의집,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:00~12:00),월+화+수+목+금,2018-07-20,,36.3386613332,127.4284253078,2023-06-30,6300000,대전광역시
새나루공동체,대전광역시 동구 선화로 226,대전광역시 동구 정동 7-3,새나루공동체,042-223-6393,새나루공동체,"60세이상 기초수급자+차상위계층+저소득 독거노인(쪽방촌주민,노숙인 등)",주말중식(12:00~13:00)평일석식(17:00~18:00),(석식)월+화+목+금(중식)토+일,2018-06-04,,36.3353955870,127.4302501276,2023-06-30,6300000,대전광역시
대동종합사회복지관,대전광역시 동구 백룡로 48번길 79,대전광역시 동구 대동 1-187,대동종합사회복지관,042-673-8337,대동종합사회복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(10:00~12:00),월+화+수+목+금,2018-05-31,,36.3304882953,127.4501984663,2023-06-30,6300000,대전광역시
용운종합사회복지관,대전광역시 동구 용운로 110,대전광역시 동구 용운동 459,용운종합사회복지관,042-284-5717,용운종합사회복지관,60세이상 기초수급자+차상위계층+저소득 독거노인,중식(11:30~12:30),월+화+수+목+금,2023-01-01,,36.3276574204,127.4547009427,2023-06-30,6300000,대전광역시
충주시노인복지관 동부분관,충청북도 충주시 어림5길 31(안림동),충청북도 충주시 안림동 1071번지,충주시노인복지관 분관,043-724-2323,충주시노인복지관 동부분관,"60세 이상 결식우려자(기초수급자,차상위계층)",중식(11:20-12:20),월+화+수+목+금,2024-05-27,,36.97147911,127.9488682,2025-05-31,4390000,충청북도 충주시
남원시노인복지관,전북특별자치도 남원시 금동로 50,전북특별자치도 남원시 금동 347-2,남원시노인복지관,063-625-9988,남원시노인복지관(급식소),기초수급자(생계),중식(11:50~13:00),월~토(주6일) +토요일은 금요일 식사시 대체식 제공,2021-02-15,,,,2025-06-30,4701000,전북특별자치도 남원시
남원사회복지관,전북특별자치도 남원시 노송로 1255-9,전북특별자치도 남원시 노암동 275,남원사회복지관,063-632-5252,남원사회복지관(급식소),기초수급+저소득층,중식(11:00~12:00),월~토(주6일) +토요일은 금요일 식사시 대체식 제공,2021-02-15,,,,2025-06-30,4701000,전북특별자치도 남원시
남원동부노인복지관,전북특별자치도 남원시 요천로 1834,전북특별자치도 남원시 고죽동 66-4,남원동부노인복지관,063-620-5851,남원동부노인복지관(급식소),기초수급자+저소득층,중식(11:30-12:30),월~토(주6일) +토요일은 금요일 식사시 대체식 제공,2025-06-30,,,,2025-06-30,4701000,전북특별자치도 남원시
북도면무료급식소,인천광역시 옹진군 북도면 시도로61번길 65-4,인천광역시 옹진군 북도면 시도리 364-2,옹진군자원봉사센터,032-899-2142,행복나눔터,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.53267769,126.4270352,2025-06-27,3580000,인천광역시 옹진군
북도면무료급식소,인천광역시 옹진군 북도면 장봉로 562,인천광역시 옹진군 북도면 장봉리 1055,옹진군자원봉사센터,032-899-2142,장봉다목적복지관,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.53462979,126.3372503,2025-06-27,3580000,인천광역시 옹진군
연평면무료급식소,인천광역시 옹진군 연평면 연평로 168,인천광역시 옹진군 연평면 연평리 325-160,옹진군자원봉사센터,032-899-2142,연평종합회관,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.6616438,125.7032019,2025-06-27,3580000,인천광역시 옹진군
백령면무료급식소,인천광역시 옹진군 백령면 당후길 56,인천광역시 옹진군 백령면 북포리 483-1,옹진군자원봉사센터,032-899-2142,북포1리다목적회관,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.95919594,124.6626466,2025-06-27,3580000,인천광역시 옹진군
백령면무료급식소,인천광역시 옹진군 백령면 화동로 49-12,인천광역시 옹진군 백령면 남포리 519,옹진군자원봉사센터,032-899-2142,남포2리경로당,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.93442358,124.6836152,2025-06-27,3580000,인천광역시 옹진군
백령면무료급식소,인천광역시 옹진군 백령면 백령로278번안길 34,인천광역시 옹진군 백령면 진촌리 794-1,옹진군자원봉사센터,032-899-2142,진촌1리다목적회관,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.9727133,124.7193851,2025-06-27,3580000,인천광역시 옹진군
대청면무료급식소,인천광역시 옹진군 대청면 대청로7번길 4-19,인천광역시 옹진군 대청면 대청리 387-21,옹진군자원봉사센터,032-899-2142,대청행복나눔터,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.82536146,124.7141543,2025-06-27,3580000,인천광역시 옹진군
덕적면무료급식소,인천광역시 옹진군 덕적면 덕적남로 7,인천광역시 옹진군 덕적면 진리 149,옹진군자원봉사센터,032-899-2142,덕적면주민자치센터,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.22648044,126.1467783,2025-06-27,3580000,인천광역시 옹진군
자월면무료급식소,인천광역시 옹진군 자월면 자월서로 164,인천광역시 옹진군 자월면 자월리 1024,옹진군자원봉사센터,032-899-2142,면복지회관,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.25406432,126.3071493,2025-06-27,3580000,인천광역시 옹진군
자월면무료급식소,인천광역시 옹진군 자월면 대이작로70번길 3-8,인천광역시 옹진군 자월면 이작리 545,옹진군자원봉사센터,032-899-2142,이작1리다목적회관,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.17651731,126.2536375,2025-06-27,3580000,인천광역시 옹진군
영흥면무료급식소,인천광역시 옹진군 영흥면 영흥로251번길 90,인천광역시 옹진군 영흥면 내리 202-3,옹진군자원봉사센터,032-899-2142,행복나눔터,저소득 및 소외계층,00:00~00:00,미운영,2020-03-01,2022-12-30,37.25609956,126.4833427,2025-06-27,3580000,인천광역시 옹진군
밥퍼공동체,울산광역시 북구 화봉로 81,울산광역시 북구 화봉동 450-1,사단법인 행복발전소,052-287-5569,시니어행복나눔센터,60세이상,11:30-13:00,월+화+수+목+금,2012-01-01,,35.588540423,129.367837870,2025-06-28,3720000,울산광역시 북구
어르신행복식당,울산광역시 북구 동대8길 40,울산광역시 북구 호계동 262-2,울산북구노인복지관,052-296-3901,울산북구노인복지관,60세이상,11:30-13:00,월+화+수+목+금,2010-03-01,,35.631269910,129.353896100,2025-06-28,3720000,울산광역시 북구
전주종합사회복지관,전북특별자치도 전주시 완산구 덕적골2길 10,전북특별자치도 전주시 완산구 평화동1가 445-1,전주종합사회복지관,063-284-2733,전주종합사회복지관,60세이상 기초수급자 및 차상위계층 노인+저소득 독거노인,중식(11:30-12:00),월+화+수+목+금,2025-01-02,2025-12-31,35.7966168305,127.1401965579,2025-03-05,4641000,전북특별자치도 전주시
평화사회복지관,전북특별자치도 전주시 완산구 덕적골2길 25,전북특별자치도 전주시 완산구 평화동1가 445-6,평화사회복지관,063-285-4408,평화사회복지관,60세이상 기초수급자 및 차상위계층 노인+저소득 독거노인,중식(11:30-12:30),월+화+수+목+금,2025-01-02,2025-12-31,35.79561646,127.1413315853,2025-03-05,4641000,전북특별자치도 전주시
학산종합사회복지관,전북특별자치도 전주시 완산구 모악로 4726,전북특별자치도 전주시 완산구 평화동2가 230-27,학산종합사회복지관,063-223-9999,학산종합사회복지관,60세이상 기초수급자 및 차상위계층 노인+저소득 독거노인,중식(11:20-12:20),월+화+수+목+금,2025-01-02,2025-12-31,35.79112053,127.1328385,2025-03-05,4641000,전북특별자치도 전주시
전북불교회관,전북특별자치도 전주시 덕진구 가리내로 42-13,전북특별자치도 전주시 덕진구 금암동 766-5,사회복지법인 대한불교조계종 금산사복지원,063-277-3497,전북불교회관,60세이상 기초수급자 및 차상위계층 노인+저소득 독거노인,중식(11:00-13:00),월+화+수+목+금+토,2025-01-02,2025-12-31,35.83453646,127.1305242,2025-03-05,4641000,전북특별자치도 전주시
완산노인복지관,전북특별자치도 전주시 완산구 곤지산1길 8,전북특별자치도 전주시 완산구 동완산동 52-2,완산노인복지관,063-284-1100,완산노인복지관,60세이상 기초수급자 및 차상위계층 노인+저소득 독거노인,중식(11:00-13:00),월+화+수+목+금+토,2025-01-02,2025-12-31,35.81058889,127.145606,2025-03-05,4641000,전북특별자치도 전주시
큰나루종합사회복지관,전북특별자치도 전주시 덕진구 쪽구름2길 25,전북특별자치도 전주시 덕진구 반월동 230-7,큰나루종합사회복지관,063-211-4408,큰나루종합사회복지관,60세이상 기초수급자 및 차상위계층 노인+저소득 독거노인,중식(11:00-13:00),월+화+수+목+금+토,2025-01-02,2025-12-31,35.87519399,127.0760999748,2025-03-05,4641000,전북특별자치도 전주시
진안군 장애인 종합복지관,전북특별자치도 진안군 진안읍 진무로 1189-1,,진안군 장애인 종합복지관,063-432-8871,식당,기초생활수급자+차상위계층+저소등층의 만 60세이상 노인,11:30~12:00,월+화+수+목+금,2012-01-01,,35.79741092,127.4342268,2025-01-28,4731000,전북특별자치도 진안군
거모종합사회복지관,경기도 시흥시 군자로 466번길 37,경기도 시흥시 거모동 1738-9,거모종합사회복지관,031-493-6347,거모종합사회복지관,저소득노인(기초생활수급자 및 차상위),중식(11:00-12:00),월+화+수+목+금,1999-03-01,,37.34486134,126.7813248,2025-02-12,4010000,경기도 시흥시
시흥시북부노인복지관,경기도 시흥시 은계중앙로 37,경기도 시흥시 은행동 225,시흥시북부노인복지관,031-8063-2600,시흥시북부노인복지관,저소득노인(기초생활수급자 및 차상위),중식(11:30-13:00),월+화+수+목+금,2019-04-01,,37.43393932,126.8005532,2025-02-12,4010000,경기도 시흥시
대야종합사회복지관,경기도 시흥시 호현로 55,경기도 시흥시 대야동 484-5,대야종합사회복지관,031-404-8112,대야종합사회복지관,저소득노인(기초생활수급자 및 차상위),중식(11:30-12:30),월+화+수+목+금,2002-11-08,,37.4455791,126.785283,2025-02-12,4010000,경기도 시흥시
정왕종합사회복지관,경기도 시흥시 정왕대로 233번길 27,경기도 시흥시 정왕동 1800-8,정왕종합사회복지관,031-319-6195,정왕종합사회복지관,저소득노인(기초생활수급자 및 차상위),중식(11:00-12:00),월+화+수+목+금,2000-08-01,,37.34737444,126.7407962,2025-02-12,4010000,경기도 시흥시
